"new_bin","occs","SIBs","occ1","occ2","u","chao1occ","bin","FAD","LAD","mid"
1,1,1,1,NA,NA,Inf,"Darriwilian",467.3,458.4,462.85
2,4,3,2,1,0.5,5,"Sandbian",458.4,453,455.7
3,NA,NA,NA,NA,NA,NA,"Katian",453,445.2,449.1
4,NA,NA,NA,NA,NA,NA,"Hirnantian",445.2,443.8,444.5
5,13,3,NA,1,1,3,"Rhuddanian",443.8,440.8,442.3
6,23,8,3,1,0.869565217391304,12.5,"Aeronian",440.8,438.5,439.65
7,41,17,5,6,0.878048780487805,19.0833333333333,"Telychian",438.5,433.4,435.95
8,33,13,4,2,0.878787878787879,17,"Sheinwoodian",433.4,430.5,431.95
9,23,9,3,1,0.869565217391304,13.5,"Homerian",430.5,427.4,428.95
10,65,15,4,2,0.938461538461538,19,"Gorstian",427.4,425.6,426.5
11,76,16,4,2,0.947368421052632,20,"Ludfordian",425.6,423,424.3
12,161,29,5,5,0.968944099378882,31.5,"Pridoli",423,419.2,421.1
13,347,85,31,17,0.910662824207493,113.264705882353,"Lochkovian",419.2,410.8,415
14,189,44,12,9,0.936507936507937,52,"Pragian",410.8,407.6,409.2
15,212,63,24,11,0.886792452830189,89.1818181818182,"Emsian",407.6,393.3,400.45
16,197,38,8,10,0.959390862944162,41.2,"Eifelian",393.3,387.7,390.5
17,166,43,17,11,0.897590361445783,56.1363636363636,"Givetian",387.7,382.7,385.2
18,110,43,24,4,0.781818181818182,115,"Frasnian",382.7,372.2,377.45
19,237,51,27,5,0.886075949367089,123.9,"Famennian",372.2,358.9,365.55
20,535,81,24,9,0.955140186915888,113,"Tournaisian",358.9,346.7,352.8
21,852,105,28,16,0.967136150234742,129.5,"Visean",346.7,330.9,338.8
22,483,89,28,12,0.942028985507246,121.666666666667,"Serpukhovian",330.9,323.2,327.05
23,415,65,24,5,0.942168674698795,122.6,"Bashkirian",323.2,315.2,319.2
24,528,93,36,9,0.931818181818182,165,"Moscovian",315.2,307,311.1
25,373,60,20,9,0.946380697050938,82.2222222222222,"Kasimovian",307,303.7,305.35
26,398,70,26,9,0.934673366834171,107.555555555556,"Gzhelian",303.7,298.9,301.3
27,159,25,7,4,0.955974842767296,31.125,"Asselian",298.9,293.52,296.21
28,144,28,11,3,0.923611111111111,48.1666666666667,"Sakmarian",293.52,290.1,291.81
29,160,33,14,4,0.9125,57.5,"Artinskian",290.1,283.5,286.8
30,143,32,16,4,0.888111888111888,64,"Kungurian",283.5,272.95,278.225
31,94,22,14,3,0.851063829787234,54.6666666666667,"Roadian",272.95,268.8,270.875
32,75,16,11,1,0.853333333333333,76.5,"Wordian",268.8,265.1,266.95
33,74,15,10,1,0.864864864864865,65,"Capitanian",265.1,259.1,262.1
34,70,17,11,1,0.842857142857143,77.5,"Wuchiapingian",259.1,254.14,256.62
35,69,15,8,2,0.884057971014493,31,"Changhsingian",254.14,251.902,253.021
