"midpoints","squares_list"
462.85,1
455.7,5.4
449.1,0
444.5,0
442.3,3
439.65,9.65742574257426
435.95,19.0833333333333
431.95,14.6817743490839
428.95,10.4163346613546
426.5,17.0091236494598
424.3,17.9943977591036
421.1,31.1580152079454
415,120.519155331397
409.2,50.902736339613
400.45,83.2114569902376
390.5,42.7619789637709
385.2,64.3315936626281
377.45,69.853632092519
365.55,95.717641261498
352.8,102.811658183276
338.8,126.658129588749
327.05,111.511419125899
319.2,89.3846131309876
311.1,133.757025225461
305.35,78.4355719246859
301.3,99.607162928524
296.21,30.9000637297857
291.81,42.6067162717838
286.8,53.8490731163975
278.225,63.2664894417415
270.875,100.608028734418
266.95,58.2979181622398
262.1,44.9662035298535
256.62,98.5929203539823
253.021,34.9543201896143
